id_sku,categoria_n1,categoria_n2,marca,preco_lista
56,Automotivo,Acessórios,HyperX,1068.36
57,Pet,Higiene,Acme,89.65
58,Moda,Calçados,Pixel,124.55
59,Eletrônicos,Acessórios,Atlas,2153.14
60,Pet,Higiene,Pixel,195.19
61,Moda,Acessórios,Pixel,124.94
62,Brinquedos,Bonecos,Aurum,142.36
63,Papelaria,Organização,Atlas,116.02
64,Esporte,Futebol,Delta,465.79
65,Brinquedos,Bonecos,Atlas,117.29
66,Brinquedos,Bonecos,Pixel,349.83
67,Automotivo,Manutenção,Nexa,775.18
68,Moda,Calçados,Atlas,32.93
69,Casa & Cozinha,Utensílios,Vega,173.32
70,Casa & Cozinha,Decoração,Pixel,452.51
71,Eletrônicos,Celulares,Nexa,882.23
72,Brinquedos,Quebra-cabeça,Acme,132.06
73,Casa & Cozinha,Decoração,Acme,729.8
74,Brinquedos,Blocos,Vega,214.59
75,Papelaria,Cadernos,Aurum,52.39
76,Beleza,Cabelos,Rino,160.67
77,Moda,Acessórios,Giga,456.53
78,Casa & Cozinha,Utensílios,Aurum,151.36
79,Eletrônicos,Notebooks,Omega,2677.15
80,Eletrônicos,Notebooks,Omega,2639.51
81,Moda,Jeans,Giga,225.85
82,Moda,Calçados,Acme,185.39
83,Beleza,Skincare,Nexa,88.99
84,Automotivo,Som,Aurum,982.91
85,Beleza,Cabelos,Pixel,298.6
86,Moda,Jeans,Nexa,381.72
87,Casa & Cozinha,Decoração,Nova,747.58
88,Eletrônicos,TVs,Nova,2543.18
89,Moda,Camisetas,Giga,516.6
90,Pet,Higiene,Aurum,118.48
91,Casa & Cozinha,Organização,Delta,127.49
92,Brinquedos,Blocos,Giga,356.39
93,Eletrônicos,Acessórios,Vega,1080.74
94,Brinquedos,Jogos,Nova,160.67
95,Papelaria,Cadernos,Vega,112.84
96,Papelaria,Escrita,Giga,162.66
97,Moda,Camisetas,Zenon,135.82
98,Automotivo,Acessórios,Nexa,660.16
99,Papelaria,Organização,Acme,10.08
100,Pet,Ração,Omega,127.05
101,Pet,Higiene,Pixel,226.26
102,Esporte,Corrida,Rino,969.45
103,Casa & Cozinha,Organização,Giga,617.35
104,Esporte,Ciclismo,Pixel,267.3
105,Moda,Camisetas,Delta,332.06
106,Papelaria,Arte,Omega,191.37
107,Eletrônicos,TVs,HyperX,1427.63
108,Esporte,Ciclismo,HyperX,1289.88
109,Brinquedos,Jogos,Omega,178.6
110,Beleza,Skincare,Aurum,191.33
111,Papelaria,Cadernos,Zenon,169.46
112,Automotivo,Acessórios,Delta,876.84
113,Brinquedos,Bonecos,Atlas,351.06
114,Pet,Ração,Delta,221.89
115,Moda,Calçados,Atlas,345.43
116,Eletrônicos,Áudio,Omega,2434.4
117,Esporte,Corrida,Atlas,246.84
118,Automotivo,Manutenção,Delta,1111.54
119,Eletrônicos,Celulares,Rino,1498.96
120,Moda,Calçados,Pixel,394.6
121,Eletrônicos,Áudio,Nexa,2348.62
122,Automotivo,Manutenção,Zenon,814.53
123,Moda,Calçados,Atlas,558.99
124,Casa & Cozinha,Utensílios,Rino,69.55
125,Eletrônicos,Áudio,Acme,2463.87
126,Casa & Cozinha,Utensílios,Zenon,288.75
127,Beleza,Cabelos,Nova,137.08
128,Papelaria,Cadernos,Atlas,31.08
129,Automotivo,Acessórios,Nexa,541.1
130,Casa & Cozinha,Utensílios,Nova,278.11
131,Eletrônicos,Celulares,Giga,2283.02
132,Eletrônicos,Áudio,HyperX,1411.33
133,Eletrônicos,Áudio,Nova,406.25
134,Moda,Calçados,Atlas,222.52
135,Automotivo,Acessórios,Zenon,804.41
136,Casa & Cozinha,Organização,HyperX,236.98
137,Automotivo,Acessórios,HyperX,1081.08
138,Automotivo,Som,Zenon,586.25
139,Papelaria,Escrita,Nexa,139.7
140,Pet,Ração,Atlas,73.69
141,Eletrônicos,Áudio,Zenon,2671.0
142,Papelaria,Escrita,Giga,100.62
143,Beleza,Cabelos,Acme,294.85
144,Casa & Cozinha,Eletroportáteis,Atlas,543.16
145,Automotivo,Manutenção,Omega,538.03
146,Brinquedos,Quebra-cabeça,Delta,231.91
147,Papelaria,Escrita,Vega,49.02
148,Eletrônicos,Áudio,HyperX,183.23
149,Automotivo,Manutenção,Rino,459.53
150,Moda,Jeans,Nova,485.33
151,Papelaria,Escrita,Vega,54.4
152,Eletrônicos,Notebooks,Acme,1218.69
153,Papelaria,Arte,Giga,139.68
154,Beleza,Maquiagem,Acme,376.76
155,Esporte,Futebol,Giga,956.75
156,Papelaria,Organização,Pixel,61.23
157,Casa & Cozinha,Utensílios,Aurum,333.21
158,Moda,Jeans,Nexa,436.71
159,Automotivo,Som,Delta,113.16
160,Papelaria,Escrita,Nexa,15.89
161,Automotivo,Manutenção,Aurum,1139.99
162,Brinquedos,Quebra-cabeça,Acme,397.87
163,Moda,Camisetas,Nova,556.28
164,Moda,Acessórios,Nexa,175.71
165,Papelaria,Organização,Nova,55.94
166,Esporte,Ciclismo,Delta,331.18
167,Beleza,Cabelos,Vega,52.8
168,Beleza,Cabelos,Aurum,358.95
169,Casa & Cozinha,Utensílios,Delta,389.3
170,Eletrônicos,Celulares,Omega,316.48
171,Pet,Ração,Nova,256.4
172,Esporte,Academia,Rino,373.29
173,Eletrônicos,Celulares,Delta,1892.49
174,Eletrônicos,Áudio,Rino,1119.75
175,Beleza,Perfumes,Pixel,351.15
176,Papelaria,Escrita,Nexa,127.05
177,Casa & Cozinha,Eletroportáteis,Vega,657.44
178,Papelaria,Arte,Atlas,77.24
179,Casa & Cozinha,Organização,HyperX,129.69
180,Automotivo,Manutenção,Omega,939.44
181,Pet,Ração,Acme,58.2
182,Casa & Cozinha,Organização,Pixel,154.01
183,Esporte,Academia,Pixel,902.55
184,Eletrônicos,TVs,Nova,531.59
185,Beleza,Cabelos,HyperX,363.16
186,Eletrônicos,TVs,Rino,1584.91
187,Esporte,Corrida,Nexa,1230.09
188,Beleza,Cabelos,Giga,390.41
189,Casa & Cozinha,Eletroportáteis,Nova,445.41
190,Beleza,Perfumes,Acme,27.49
191,Beleza,Skincare,Acme,370.76
192,Papelaria,Organização,HyperX,25.9
193,Moda,Calçados,Atlas,417.88
194,Papelaria,Arte,Aurum,29.27
195,Casa & Cozinha,Eletroportáteis,Vega,247.12
196,Esporte,Ciclismo,Atlas,877.11
197,Brinquedos,Quebra-cabeça,Vega,450.65
198,Casa & Cozinha,Decoração,Rino,334.66
199,Esporte,Academia,Vega,556.9
200,Papelaria,Arte,Nova,157.69
201,Automotivo,Acessórios,Rino,333.4
202,Automotivo,Manutenção,Delta,358.81
203,Moda,Acessórios,Rino,267.58
204,Casa & Cozinha,Eletroportáteis,Nexa,300.39
205,Moda,Calçados,Aurum,247.73
206,Pet,Higiene,Nova,257.51
207,Brinquedos,Jogos,Atlas,274.14
208,Beleza,Cabelos,Atlas,324.14
209,Eletrônicos,Notebooks,Atlas,2840.36
210,Moda,Calçados,Acme,238.52
211,Casa & Cozinha,Utensílios,Nova,286.14
212,Eletrônicos,TVs,Acme,1718.92
213,Beleza,Skincare,Vega,181.96
214,Casa & Cozinha,Eletroportáteis,Giga,255.43
215,Moda,Jeans,Aurum,548.51
216,Automotivo,Som,Giga,561.81
217,Moda,Camisetas,Rino,423.37
218,Pet,Ração,Atlas,48.61
219,Casa & Cozinha,Utensílios,Nova,279.06
220,Esporte,Corrida,Pixel,979.87
221,Eletrônicos,Notebooks,Rino,1392.6
222,Eletrônicos,Notebooks,Nova,2809.06
223,Moda,Camisetas,Nova,541.69
224,Pet,Higiene,Nexa,277.46
225,Casa & Cozinha,Organização,Giga,412.18
226,Casa & Cozinha,Utensílios,HyperX,54.0
227,Pet,Ração,Omega,91.35
228,Papelaria,Cadernos,Rino,95.29
229,Brinquedos,Jogos,Delta,437.88
230,Beleza,Perfumes,Delta,263.18
231,Automotivo,Manutenção,Vega,948.21
232,Esporte,Corrida,Omega,377.57
233,Esporte,Ciclismo,Pixel,63.15
234,Automotivo,Manutenção,Zenon,111.65
235,Esporte,Academia,HyperX,1466.91
236,Esporte,Academia,Zenon,660.96
237,Brinquedos,Jogos,Nexa,87.26
238,Eletrônicos,Acessórios,Delta,2303.98
239,Brinquedos,Blocos,Rino,250.18
240,Casa & Cozinha,Utensílios,HyperX,711.26
241,Pet,Brinquedos,Atlas,262.55
242,Brinquedos,Jogos,Delta,199.6
243,Brinquedos,Quebra-cabeça,Omega,199.68
244,Casa & Cozinha,Eletroportáteis,Pixel,595.93
245,Papelaria,Organização,Pixel,18.64
246,Casa & Cozinha,Decoração,Zenon,263.22
247,Automotivo,Som,Delta,36.22
248,Automotivo,Acessórios,Omega,434.67
249,Casa & Cozinha,Decoração,HyperX,442.88
250,Eletrônicos,TVs,Acme,1195.43
251,Eletrônicos,Acessórios,Atlas,204.54
252,Eletrônicos,Áudio,HyperX,1937.57
253,Eletrônicos,Áudio,Zenon,2796.78
254,Pet,Higiene,Aurum,44.05
255,Automotivo,Acessórios,Zenon,350.75
256,Pet,Ração,Giga,37.5
257,Automotivo,Acessórios,Nexa,91.34
258,Brinquedos,Jogos,Pixel,119.12
259,Brinquedos,Blocos,Nexa,210.49
260,Pet,Brinquedos,Acme,70.93
261,Beleza,Skincare,Vega,280.31
262,Eletrônicos,Acessórios,Rino,1741.6
263,Beleza,Perfumes,Nexa,218.94
264,Esporte,Ciclismo,Nova,1329.01
265,Beleza,Perfumes,Vega,254.22
266,Casa & Cozinha,Decoração,Pixel,405.61
267,Papelaria,Organização,Giga,60.31
268,Esporte,Futebol,Atlas,254.85
269,Casa & Cozinha,Organização,Pixel,144.58
270,Automotivo,Som,Atlas,150.26
271,Beleza,Perfumes,Nexa,399.86
272,Eletrônicos,Acessórios,Nexa,1766.85
273,Brinquedos,Bonecos,Aurum,283.05
274,Papelaria,Cadernos,Giga,34.38
275,Papelaria,Cadernos,Acme,124.75
276,Brinquedos,Jogos,Aurum,65.89
277,Pet,Ração,Zenon,18.1
278,Brinquedos,Jogos,Rino,243.33
279,Pet,Ração,Zenon,84.32
280,Pet,Higiene,Delta,78.0
281,Casa & Cozinha,Organização,Rino,107.4
282,Pet,Ração,Pixel,18.4
283,Beleza,Skincare,Giga,61.28
284,Brinquedos,Jogos,Omega,382.87
285,Esporte,Ciclismo,Atlas,1445.95
286,Moda,Acessórios,Acme,312.4
287,Moda,Acessórios,Acme,154.88
288,Automotivo,Som,Rino,249.46
289,Pet,Ração,Atlas,62.13
290,Brinquedos,Blocos,Aurum,471.54
291,Esporte,Academia,Vega,1304.38
292,Esporte,Academia,Vega,1407.27
293,Moda,Camisetas,Acme,552.68
294,Automotivo,Manutenção,Aurum,675.57
295,Casa & Cozinha,Organização,Acme,253.12
296,Eletrônicos,Acessórios,Pixel,2509.88
297,Beleza,Cabelos,Zenon,135.89
298,Pet,Ração,Delta,231.93
299,Pet,Brinquedos,Nova,231.58
300,Casa & Cozinha,Utensílios,Acme,70.77
301,Papelaria,Cadernos,Aurum,93.11
302,Pet,Ração,Acme,209.48
303,Beleza,Skincare,Atlas,158.78
304,Esporte,Corrida,Nova,726.08
305,Casa & Cozinha,Organização,HyperX,248.39
306,Eletrônicos,Celulares,Acme,426.53
307,Eletrônicos,TVs,Atlas,2056.17
308,Casa & Cozinha,Decoração,HyperX,662.5
309,Brinquedos,Bonecos,Zenon,152.44
310,Brinquedos,Bonecos,Acme,400.1
311,Brinquedos,Bonecos,Nova,201.63
312,Esporte,Corrida,Giga,1089.51
313,Automotivo,Manutenção,Delta,521.83
314,Automotivo,Acessórios,Vega,795.33
315,Moda,Camisetas,Nova,151.59
316,Brinquedos,Blocos,Aurum,442.86
317,Brinquedos,Quebra-cabeça,Zenon,113.82
318,Brinquedos,Quebra-cabeça,Delta,247.01
319,Pet,Brinquedos,Zenon,167.34
320,Brinquedos,Quebra-cabeça,Giga,358.6
321,Pet,Higiene,Nexa,91.06
322,Eletrônicos,Áudio,Atlas,2734.64
323,Pet,Brinquedos,Omega,257.22
324,Esporte,Academia,Nova,87.24
325,Moda,Calçados,Delta,474.2
326,Casa & Cozinha,Organização,Pixel,140.4
327,Papelaria,Organização,Aurum,61.51
328,Casa & Cozinha,Utensílios,Atlas,170.18
329,Moda,Jeans,Pixel,334.76
330,Esporte,Futebol,Omega,1459.33
331,Beleza,Maquiagem,Giga,308.97
332,Casa & Cozinha,Organização,HyperX,59.17
333,Eletrônicos,Notebooks,Pixel,1823.96
334,Automotivo,Manutenção,Delta,793.3
335,Moda,Camisetas,Omega,311.89
336,Beleza,Skincare,Zenon,354.22
337,Brinquedos,Blocos,HyperX,243.56
338,Beleza,Perfumes,HyperX,331.78
339,Eletrônicos,Celulares,HyperX,436.93
340,Papelaria,Escrita,Atlas,57.24
341,Moda,Jeans,Rino,509.29
342,Esporte,Ciclismo,Giga,626.7
343,Beleza,Skincare,Rino,111.63
344,Moda,Jeans,Acme,141.29
345,Pet,Ração,Acme,130.54
346,Pet,Ração,Delta,158.69
347,Beleza,Perfumes,Nova,192.11
348,Papelaria,Organização,Nova,96.36
349,Brinquedos,Bonecos,Nova,393.38
350,Brinquedos,Jogos,Acme,312.26
351,Beleza,Perfumes,Atlas,351.92
352,Papelaria,Escrita,Rino,199.43
353,Brinquedos,Jogos,Nova,110.69
354,Brinquedos,Blocos,Pixel,435.71
355,Eletrônicos,Notebooks,HyperX,1026.32
356,Pet,Higiene,Rino,267.17
357,Beleza,Cabelos,Nexa,20.49
358,Moda,Jeans,Acme,181.14
359,Eletrônicos,TVs,Vega,2397.05
360,Beleza,Perfumes,HyperX,318.04
361,Beleza,Cabelos,Vega,266.98
362,Pet,Higiene,Pixel,72.49
363,Papelaria,Organização,Rino,166.47
364,Casa & Cozinha,Organização,Atlas,634.93
365,Moda,Camisetas,Rino,210.57
366,Pet,Higiene,Nexa,197.14
367,Moda,Jeans,Pixel,433.41
368,Esporte,Ciclismo,Vega,494.75
369,Esporte,Academia,Acme,656.76
370,Brinquedos,Bonecos,Vega,219.84
371,Casa & Cozinha,Utensílios,Omega,555.05
372,Pet,Higiene,Zenon,182.75
373,Automotivo,Som,Giga,1069.89
374,Brinquedos,Quebra-cabeça,Pixel,85.56
375,Papelaria,Organização,Nexa,22.12
376,Papelaria,Organização,Nexa,190.58
377,Brinquedos,Jogos,Nexa,44.17
378,Automotivo,Manutenção,Acme,1029.08
379,Brinquedos,Bonecos,Giga,361.19
380,Esporte,Ciclismo,Pixel,502.63
381,Esporte,Futebol,Delta,861.26
382,Eletrônicos,Celulares,Nova,1220.71
383,Papelaria,Arte,Rino,183.83
384,Papelaria,Organização,Nova,84.26
385,Brinquedos,Bonecos,Pixel,455.5
386,Papelaria,Arte,Omega,194.67
387,Casa & Cozinha,Utensílios,Rino,703.37
388,Casa & Cozinha,Utensílios,Giga,422.01
389,Papelaria,Cadernos,Delta,171.41
390,Casa & Cozinha,Decoração,Giga,516.51
391,Papelaria,Escrita,Acme,12.33
392,Brinquedos,Bonecos,Zenon,339.84
393,Brinquedos,Jogos,Delta,79.87
394,Casa & Cozinha,Eletroportáteis,Acme,246.21
395,Pet,Higiene,Nexa,153.12
396,Papelaria,Organização,Nova,11.17
397,Moda,Jeans,Nova,525.25
398,Papelaria,Cadernos,HyperX,83.07
399,Pet,Brinquedos,Aurum,203.33
400,Automotivo,Acessórios,Zenon,404.27
401,Eletrônicos,Celulares,Omega,1776.17
402,Eletrônicos,TVs,Vega,167.42
403,Pet,Ração,Delta,95.8
404,Pet,Ração,Rino,75.75
405,Automotivo,Acessórios,Nova,186.78
406,Beleza,Cabelos,Nova,367.04
407,Beleza,Maquiagem,Nova,28.81
408,Papelaria,Arte,Vega,72.46
409,Eletrônicos,Acessórios,Omega,2108.93
410,Brinquedos,Quebra-cabeça,Vega,112.62
411,Brinquedos,Quebra-cabeça,Giga,107.77
412,Moda,Calçados,Rino,591.14
413,Esporte,Ciclismo,Acme,56.47
414,Papelaria,Organização,Aurum,72.6
415,Esporte,Futebol,HyperX,1101.53
416,Brinquedos,Jogos,Giga,467.73
417,Moda,Acessórios,Nexa,73.47
418,Beleza,Skincare,Atlas,64.36
419,Esporte,Academia,Rino,1208.68
420,Casa & Cozinha,Utensílios,Acme,163.16
421,Casa & Cozinha,Decoração,Nexa,281.56
422,Casa & Cozinha,Decoração,Vega,613.42
423,Papelaria,Organização,Nexa,156.86
424,Automotivo,Manutenção,Vega,415.78
425,Brinquedos,Bonecos,Rino,229.91
426,Eletrônicos,Celulares,HyperX,878.11
427,Automotivo,Acessórios,Rino,356.71
428,Beleza,Skincare,Pixel,45.56
429,Casa & Cozinha,Utensílios,Delta,397.7
430,Automotivo,Acessórios,Nova,597.96
431,Beleza,Perfumes,Zenon,116.53
432,Brinquedos,Quebra-cabeça,Delta,478.54
433,Automotivo,Acessórios,Omega,1150.54
434,Esporte,Academia,Giga,1118.79
435,Esporte,Corrida,HyperX,649.14
436,Beleza,Cabelos,Rino,174.25
437,Beleza,Skincare,HyperX,289.07
438,Esporte,Ciclismo,Rino,1039.67
439,Automotivo,Som,Nova,913.24
440,Casa & Cozinha,Utensílios,Vega,731.88
441,Casa & Cozinha,Organização,Zenon,592.59
442,Pet,Higiene,Rino,198.77
443,Pet,Higiene,Aurum,162.99
444,Casa & Cozinha,Eletroportáteis,Acme,413.22
445,Brinquedos,Jogos,Pixel,54.37
446,Beleza,Skincare,Atlas,45.6
447,Moda,Acessórios,Vega,238.32
448,Pet,Higiene,Delta,182.25
449,Brinquedos,Bonecos,Giga,89.72
450,Eletrônicos,TVs,Atlas,2610.44
451,Casa & Cozinha,Utensílios,Zenon,566.32
452,Brinquedos,Quebra-cabeça,HyperX,219.11
453,Automotivo,Som,HyperX,1080.18
454,Casa & Cozinha,Organização,Rino,363.03
455,Beleza,Perfumes,Rino,371.51
456,Eletrônicos,Áudio,Nexa,1106.77
457,Papelaria,Organização,Rino,163.98
458,Casa & Cozinha,Utensílios,Atlas,80.59
459,Papelaria,Cadernos,Aurum,113.14
460,Moda,Camisetas,Delta,520.05
461,Pet,Higiene,Giga,211.78
462,Moda,Calçados,Delta,236.98
463,Moda,Calçados,Atlas,171.92
464,Automotivo,Acessórios,Rino,899.86
465,Moda,Camisetas,HyperX,225.91
466,Beleza,Maquiagem,Giga,279.22
467,Eletrônicos,TVs,Vega,2351.38
468,Casa & Cozinha,Eletroportáteis,Zenon,749.4
469,Pet,Brinquedos,Delta,219.78
470,Beleza,Skincare,Pixel,325.78
471,Beleza,Cabelos,Omega,374.51
472,Casa & Cozinha,Decoração,Delta,530.44
473,Pet,Ração,Atlas,76.19
474,Casa & Cozinha,Eletroportáteis,Zenon,142.02
475,Esporte,Academia,Vega,121.53
476,Casa & Cozinha,Organização,Nova,775.85
477,Brinquedos,Quebra-cabeça,Nexa,335.86
478,Moda,Calçados,Delta,450.27
479,Casa & Cozinha,Organização,Nexa,298.21
480,Automotivo,Manutenção,Nova,773.35
481,Brinquedos,Jogos,Giga,479.51
482,Eletrônicos,Áudio,Nexa,2929.12
483,Automotivo,Manutenção,Aurum,751.97
484,Moda,Calçados,Aurum,539.2
485,Automotivo,Manutenção,Aurum,304.62
486,Esporte,Corrida,Zenon,768.39
487,Moda,Jeans,Vega,309.08
488,Esporte,Corrida,Nova,1313.08
489,Esporte,Corrida,Delta,569.27
490,Brinquedos,Jogos,Pixel,378.03
491,Casa & Cozinha,Organização,Atlas,736.65
492,Eletrônicos,TVs,Rino,279.51
493,Eletrônicos,Áudio,Rino,1410.69
494,Pet,Higiene,Nova,181.09
495,Moda,Calçados,HyperX,516.15
496,Eletrônicos,Celulares,Aurum,1614.27
497,Beleza,Skincare,Nexa,302.49
498,Eletrônicos,Notebooks,Atlas,2240.81
499,Eletrônicos,Celulares,Nexa,2617.23
500,Papelaria,Organização,Omega,118.52
501,Brinquedos,Bonecos,Giga,140.15
502,Esporte,Corrida,Omega,1451.44
503,Beleza,Skincare,Delta,372.25
504,Moda,Jeans,HyperX,380.64
505,Brinquedos,Jogos,Atlas,152.78
506,Beleza,Perfumes,Rino,361.27
507,Papelaria,Organização,Nova,113.13
508,Pet,Ração,Atlas,299.9
509,Moda,Calçados,Pixel,516.97
510,Eletrônicos,Notebooks,Giga,318.0
511,Automotivo,Acessórios,Atlas,1045.81
512,Beleza,Maquiagem,Rino,201.45
513,Papelaria,Escrita,Pixel,29.46
514,Casa & Cozinha,Utensílios,Delta,595.84
515,Brinquedos,Bonecos,Zenon,311.56
516,Casa & Cozinha,Organização,Nova,434.83
517,Pet,Higiene,Delta,234.85
518,Casa & Cozinha,Organização,Nova,772.57
519,Beleza,Perfumes,Nova,119.82
520,Esporte,Academia,HyperX,1135.86
521,Beleza,Maquiagem,Zenon,114.8
522,Beleza,Maquiagem,Atlas,94.35
523,Brinquedos,Jogos,Omega,301.61
524,Pet,Ração,Nexa,61.55
525,Eletrônicos,Acessórios,Nexa,1330.93
526,Beleza,Skincare,Nexa,148.63
527,Brinquedos,Jogos,Aurum,110.33
528,Eletrônicos,Notebooks,Delta,898.33
529,Pet,Brinquedos,Zenon,179.23
530,Beleza,Maquiagem,Rino,119.92
531,Beleza,Cabelos,Pixel,217.14
532,Beleza,Skincare,Acme,212.61
533,Moda,Jeans,Pixel,150.19
534,Moda,Acessórios,HyperX,120.12
535,Moda,Acessórios,Acme,343.21
536,Casa & Cozinha,Decoração,Delta,246.65
537,Brinquedos,Quebra-cabeça,Atlas,58.83
538,Beleza,Maquiagem,HyperX,163.87
539,Pet,Brinquedos,HyperX,92.48
540,Beleza,Cabelos,Acme,51.72
541,Brinquedos,Bonecos,HyperX,496.07
542,Eletrônicos,Notebooks,Omega,422.47
543,Esporte,Academia,Omega,215.49
544,Moda,Calçados,Zenon,412.78
545,Casa & Cozinha,Decoração,Rino,496.83
546,Beleza,Perfumes,Nexa,166.59
547,Moda,Calçados,HyperX,311.22
548,Brinquedos,Quebra-cabeça,Acme,341.79
549,Eletrônicos,Notebooks,HyperX,430.32
550,Moda,Jeans,Omega,531.46
551,Eletrônicos,Áudio,Atlas,1003.08
552,Pet,Higiene,Atlas,247.31
553,Casa & Cozinha,Organização,Rino,373.34
554,Moda,Camisetas,HyperX,471.38
555,Papelaria,Arte,Delta,111.44
556,Eletrônicos,Áudio,Giga,688.51
557,Brinquedos,Bonecos,Nexa,479.22
558,Pet,Higiene,Pixel,103.58
559,Casa & Cozinha,Organização,Aurum,222.58
560,Pet,Higiene,Atlas,27.36
561,Moda,Camisetas,Aurum,115.65
562,Pet,Higiene,Aurum,19.77
563,Esporte,Ciclismo,Nexa,1272.53
564,Esporte,Corrida,Vega,527.6
565,Casa & Cozinha,Organização,Atlas,667.25
566,Brinquedos,Quebra-cabeça,Delta,121.1
567,Brinquedos,Quebra-cabeça,Omega,192.83
568,Automotivo,Acessórios,Pixel,203.26
569,Pet,Higiene,Nexa,275.94
570,Eletrônicos,Áudio,Nova,391.76
571,Esporte,Futebol,Delta,571.62
572,Pet,Higiene,Delta,254.96
573,Moda,Acessórios,Giga,153.12
574,Casa & Cozinha,Decoração,Zenon,303.18
575,Pet,Brinquedos,Zenon,177.92
576,Pet,Higiene,Aurum,64.98
577,Esporte,Corrida,Nexa,1115.09
578,Papelaria,Cadernos,Aurum,14.2
579,Casa & Cozinha,Decoração,Acme,661.0
580,Moda,Calçados,Acme,441.45
581,Esporte,Ciclismo,Nexa,525.16
582,Automotivo,Som,Nova,510.03
583,Casa & Cozinha,Organização,Nova,287.97
584,Eletrônicos,Celulares,Delta,1566.2
585,Papelaria,Cadernos,Atlas,108.42
586,Papelaria,Cadernos,Acme,29.34
587,Eletrônicos,Acessórios,Vega,1067.19
588,Brinquedos,Blocos,Zenon,150.34
589,Moda,Calçados,Vega,32.2
590,Beleza,Maquiagem,Nexa,94.52
591,Automotivo,Acessórios,Omega,656.55
592,Pet,Ração,Rino,167.17
593,Casa & Cozinha,Organização,Omega,296.28
594,Moda,Acessórios,HyperX,101.67
595,Papelaria,Escrita,Zenon,80.69
596,Papelaria,Arte,Zenon,118.3
597,Brinquedos,Jogos,Zenon,292.4
598,Papelaria,Escrita,Delta,173.59
599,Casa & Cozinha,Decoração,Vega,266.92
600,Eletrônicos,Áudio,Giga,1829.88
601,Esporte,Futebol,Giga,1495.96
602,Automotivo,Som,Giga,1110.78
603,Beleza,Perfumes,HyperX,202.67
604,Pet,Higiene,Delta,205.26
605,Pet,Brinquedos,Vega,262.36
606,Eletrônicos,TVs,Omega,2175.7
607,Beleza,Skincare,Rino,125.91
608,Beleza,Perfumes,Aurum,242.99
609,Automotivo,Acessórios,Delta,452.66
610,Brinquedos,Jogos,Omega,308.8
611,Casa & Cozinha,Eletroportáteis,HyperX,567.78
612,Esporte,Futebol,Omega,326.38
613,Automotivo,Som,HyperX,325.39
614,Moda,Acessórios,HyperX,397.63
615,Beleza,Perfumes,Giga,348.62
616,Beleza,Perfumes,Rino,48.74
617,Beleza,Cabelos,Nova,316.9
618,Pet,Ração,Vega,222.78
619,Papelaria,Escrita,Aurum,128.8
620,Beleza,Skincare,Acme,369.54
621,Casa & Cozinha,Organização,Nova,507.12
622,Automotivo,Manutenção,Giga,440.75
623,Moda,Calçados,HyperX,136.34
624,Beleza,Cabelos,Atlas,78.22
625,Casa & Cozinha,Utensílios,Zenon,600.14
